Name,Link
"Cabouret, F.",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6072
"Cacciarini, Gianni",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3654
"Caccini, Giovanni Battista",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5771
"Cadart, Alfred",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3655
"Cadere, André",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=10145
"Cades, Giuseppe",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6819
"Cadmus, Paul",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3656
"Cady, Harrison",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=33262
"Caffi, Ippolito",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=34366
"Caffiéri, Jacques",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5507
"Cage, John",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6936
"Cagnacci, Guido",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=22797
"Cagnola, Luigi",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=34761
"Cahn, Marcelle",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3657
"Caillebotte, Gustave",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5987
"Caillou, Jean",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=1902
"Cain, Auguste-Nicolas",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=2046
"Cain, Charles William",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3658
"Cain, Fred",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3659
"Cain, J. Frederick Jr.",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3659
"Cairano, Gasparo",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=30346
"Caithness, Earl of",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=16464
"Calabrese, il",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3688
"Calame, Alexandre",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=21261
"Calapai, Letterio",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3660
"Calas, Nicolas",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=10414
"Calcagno, Lawrence",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=1073
"Caldara, Polidoro",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=2688
"Caldecott, Randolph",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=9823
"Calder, Alexander",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2047
"Calderon, Ludmilla",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=7340
"Calderone, Mary Steichen",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=25094
"Caldwall, James",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=3661
"Cale, Robert Allan",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=3662
"Calewaert, Louis H.S.",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=3663
"Calhon, Robert E.",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=34604
"Caliari, Paolo",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=1952
"Calker, B.C.V.",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=27770
"Call, H.",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=1074
"Call I, Jan van",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=3664
"Callahan, Harry",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=6715
"Callahan, Harry Morey",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=6715
"Callahan, Kenneth",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=5727
"Callen, Mark",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=17573
"Callery, Mary",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2048
"Callet, Antoine-François",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=10713
"Callot, Jacques",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2414
"Callow, William",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=5964
"Calvaert, Denys",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=3666
"Calvert, Edward",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=3667
"Calvert, Frederick, Lord Baltimore",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=30565
"Calvert, Lord Baltimore, Frederick",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=30565
"Calvin, Robert",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=7341
"Camassei, Andrea",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=19742
"Cambi, Giovanni Battista",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2035
"Cambi, called Bombarda, Giovanni Battista",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2035
"Cambiaso, Luca",https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2416
Camelio,https://web.archive.org/web/20121010201634/http://www.nga.gov/cgi-bin/tsearch?artistid=2049
