Name,Link
"da Caravaggio, Polidoro",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2688
"da Carpi, Ugo",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=3694
"da Cavino, Giovanni",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2062
"da Ferrara, Costanzo",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2071
"da Maiano, Benedetto",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2021
"da Milano, Amadio",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2003
"da Sangallo, Francesco",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2113
"da Settignano, Desiderio",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2083
"da Siena, Matteo",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=1708
"da Trento, Antonio",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2909
"da Urbino, Clemente",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2066
"da Vinci, Leonardo",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=1479
"Dadante, Michael",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=7412
"Daddi, Bernardo",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=1204
"Dadler, Sebastian",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=9900
"Dadley, J.",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=6194
"Daeda, Orison",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=7413
"Dael, Cornelis van",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=11726
"Dagoty, Jacques-Fabien Gautier",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=21956
"d'Aguilon, François",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=7151
"Dahl, Einar",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=34224
"Dahl, Johan Christian",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=5612
"Dahl, Johan Christian Clausen",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=5612
"Dahlberg, Erik Jönson",https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=11643
